EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
52	15:15:36	2	0.0006	0.0772625022392117	0.2847517132759094	0.8627	0.8781	0.8703	0.7779
53	15:16:29	3	0.0006	0.07581566939798298	0.2842731773853302	0.8635	0.8789	0.8711	0.7796
54	15:17:22	4	0.0006	0.07595101708753407	0.28170183300971985	0.8614	0.8781	0.8697	0.7768
55	15:18:15	1	0.0003	0.07698606855390978	0.28275513648986816	0.8625	0.8766	0.8695	0.777
56	15:19:08	2	0.0003	0.07408505627363439	0.28323572874069214	0.864	0.8781	0.871	0.7795
57	15:20:02	3	0.0003	0.07695344274361789	0.2839171886444092	0.8619	0.8773	0.8696	0.7772
58	15:20:56	4	0.0003	0.07482268470730111	0.2852049469947815	0.8613	0.8773	0.8692	0.7772
59	15:21:48	1	0.0002	0.0738112943750167	0.28640925884246826	0.8613	0.8773	0.8692	0.7772
60	15:22:41	2	0.0002	0.07474595647431787	0.2867148518562317	0.8613	0.8773	0.8692	0.7772
61	15:23:34	3	0.0002	0.07400193728349068	0.28646910190582275	0.8613	0.8773	0.8692	0.7772
62	15:24:27	4	0.0002	0.07463167968854392	0.28668802976608276	0.8613	0.8773	0.8692	0.7772
